                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.16529,                   0.45,                      1,                0.32995,              5.712e-05,              5.712e-05,              5.712e-05
                      1,                0.09392,                   0.55,                      1,                0.30925,             0.00011898,             0.00011898,             0.00011898
                      2,                0.06977,                0.76667,                      1,                0.28192,             0.00017829,             0.00017829,             0.00017829
                      3,                0.04557,                   0.75,                      1,                0.27985,             0.00023506,             0.00023506,             0.00023506
                      4,                0.03178,                0.73333,                      1,                 0.2744,             0.00028928,             0.00028928,             0.00028928
                      5,                0.02756,                0.73333,                      1,                0.27183,             0.00034096,             0.00034096,             0.00034096
                      6,                0.01763,                0.73333,                      1,                0.26897,             0.00039009,             0.00039009,             0.00039009
                      7,                0.01552,                0.71667,                      1,                0.26704,             0.00043668,             0.00043668,             0.00043668
                      8,                0.02157,                0.71667,                      1,                0.26596,             0.00048072,             0.00048072,             0.00048072
                      9,                0.01071,                0.71667,                      1,                0.26279,             0.00052222,             0.00052222,             0.00052222
                     10,                0.02078,                   0.75,                      1,                0.26141,             0.00056118,             0.00056118,             0.00056118
                     11,                  0.027,                0.73333,                      1,                 0.2631,             0.00055849,             0.00055849,             0.00055849
                     12,                0.02056,                0.68333,                      1,                0.26533,             0.00055849,             0.00055849,             0.00055849
                     13,                0.02997,                0.68333,                      1,                0.27737,             0.00054435,             0.00054435,             0.00054435
                     14,                0.02466,                   0.65,                      1,                0.28479,             0.00053022,             0.00053022,             0.00053022
                     15,                 0.0529,                0.76667,                      1,                0.25435,             0.00051608,             0.00051608,             0.00051608
                     16,                0.02639,                0.71667,                      1,                0.27147,             0.00050194,             0.00050194,             0.00050194
                     17,                0.04337,                0.63333,                      1,                0.30881,              0.0004878,              0.0004878,              0.0004878
                     18,                0.02733,                   0.75,                      1,                0.26975,             0.00047367,             0.00047367,             0.00047367
                     19,                0.03808,                    0.7,                      1,                0.27766,             0.00045953,             0.00045953,             0.00045953
                     20,                0.02629,                0.66667,                      1,                0.29684,             0.00044539,             0.00044539,             0.00044539
                     21,                0.04575,                   0.65,                      1,                0.29771,             0.00043126,             0.00043126,             0.00043126
                     22,                0.02879,                0.63333,                      1,                0.30044,             0.00041712,             0.00041712,             0.00041712
                     23,                0.03187,                0.68333,                      1,                0.28151,             0.00040298,             0.00040298,             0.00040298
                     24,                0.02855,                    0.7,                      1,                 0.2758,             0.00038884,             0.00038884,             0.00038884
                     25,                0.02451,                    0.7,                      1,                0.27515,             0.00037471,             0.00037471,             0.00037471
                     26,                0.02021,                   0.75,                      1,                0.26998,             0.00036057,             0.00036057,             0.00036057
                     27,                0.02094,                0.76667,                      1,                0.25995,             0.00034643,             0.00034643,             0.00034643
                     28,                0.01745,                0.78333,                      1,                0.25143,              0.0003323,              0.0003323,              0.0003323
                     29,                 0.0129,                0.78333,                      1,                0.24293,             0.00031816,             0.00031816,             0.00031816
                     30,                0.01111,                   0.75,                      1,                0.24592,             0.00030402,             0.00030402,             0.00030402
                     31,                0.01537,                   0.75,                      1,                0.24601,             0.00028988,             0.00028988,             0.00028988
                     32,                0.01374,                0.78333,                      1,                0.24099,             0.00027575,             0.00027575,             0.00027575
                     33,                0.01223,                0.76667,                      1,                0.24987,             0.00026161,             0.00026161,             0.00026161
                     34,                0.01766,                0.76667,                      1,                0.25176,             0.00024747,             0.00024747,             0.00024747
                     35,                0.01879,                0.76667,                      1,                0.24999,             0.00023334,             0.00023334,             0.00023334
                     36,                0.01327,                0.76667,                      1,                 0.2469,              0.0002192,              0.0002192,              0.0002192
                     37,                0.01716,                0.76667,                      1,                0.24553,             0.00020506,             0.00020506,             0.00020506
                     38,                0.01498,                    0.8,                      1,                 0.2345,             0.00019092,             0.00019092,             0.00019092
                     39,                0.01155,                0.78333,                      1,                0.23442,             0.00017679,             0.00017679,             0.00017679
                     40,                0.01645,                    0.8,                      1,                0.23348,             0.00016265,             0.00016265,             0.00016265
                     41,                0.01128,                    0.8,                      1,                0.23511,             0.00014851,             0.00014851,             0.00014851
                     42,                0.01222,                    0.8,                      1,                0.23571,             0.00013437,             0.00013437,             0.00013437
                     43,                  0.011,                    0.8,                      1,                0.23555,             0.00012024,             0.00012024,             0.00012024
                     44,                0.01154,                    0.8,                      1,                 0.2386,              0.0001061,              0.0001061,              0.0001061
                     45,                0.01049,                0.78333,                      1,                0.24063,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 0.0102,                   0.75,                      1,                0.24317,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.01365,                0.78333,                      1,                0.24466,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.00953,                    0.8,                      1,                0.24173,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.01209,                   0.75,                      1,                0.24359,             3.5414e-05,             3.5414e-05,             3.5414e-05
